Age,SpectaclePrescription,Astigmatism,TearProductionRate,RecommendedLenses
Young,Myope,No,Reduced,None
Young,Myope,No,Normal,Soft
Young,Myope,Yes,Reduced,None
Young,Myope,Yes,Normal,Hard
Young,Hypermetrope,No,Reduced,None
Young,Hypermetrope,No,Normal,Soft
Young,Hypermetrope,Yes,Reduced,None
Young,Hypermetrope,Yes,Normal,Hard
Pre-presbyopic,Myope,No,Reduced,None
Pre-presbyopic,Myope,No,Normal,Soft
Pre-presbyopic,Myope,Yes,Reduced,None
Pre-presbyopic,Myope,Yes,Normal,Hard
Pre-presbyopic,Hypermetrope,No,Reduced,None
Pre-presbyopic,Hypermetrope,No,Normal,Soft
Pre-presbyopic,Hypermetrope,Yes,Reduced,None
Pre-presbyopic,Hypermetrope,Yes,Normal,None
Presbyopic,Myope,No,Reduced,None
Presbyopic,Myope,No,Normal,None
Presbyopic,Myope,Yes,Reduced,None
Presbyopic,Myope,Yes,Normal,Hard
Presbyopic,Hypermetrope,No,Reduced,None
Presbyopic,Hypermetrope,No,Normal,Soft
Presbyopic,Hypermetrope,Yes,Reduced,None
Presbyopic,Hypermetrope,Yes,Normal,None
